time	, clk	 rst	, X	, Y	, Z	
VCD info: dumpfile iterative_karatsuba.vcd opened for output.
0	 1	   0	              x	               x	                         x	
5	 0	   0	              x	               x	                         x	
10	 1	   1	              x	               x	                         0	
15	 0	   1	              x	               x	                         0	
20	 1	   0	              x	               x	                         0	
25	 0	   0	              x	               x	                         0	
30	 1	   0	             10	              12	                         0	
35	 0	   0	             10	              12	                         0	
40	 1	   0	             10	              12	                       120	
45	 0	   0	             10	              12	                       120	
50	 1	   0	             10	              12	                       120	
55	 0	   0	             10	              12	                       120	
60	 1	   0	             10	              12	                       120	
65	 0	   0	             10	              12	                       120	
70	 1	   0	             10	              12	                       120	
75	 0	   0	             10	              12	                       120	
80	 1	   1	              0	              12	                         0	
85	 0	   1	              0	              12	                         0	
90	 1	   1	              0	              12	                         0	
95	 0	   1	              0	              12	                         0	
100	 1	   1	              0	              12	                         0	
105	 0	   1	              0	              12	                         0	
110	 1	   1	              0	              12	                         0	
115	 0	   1	              0	              12	                         0	
120	 1	   1	              0	              12	                         0	
125	 0	   1	              0	              12	                         0	
130	 1	   1	              0	              12	                         0	
135	 0	   1	              0	              12	                         0	
140	 1	   1	              0	              12	                         0	
145	 0	   1	              0	              12	                         0	
150	 1	   1	              0	              12	                         0	
155	 0	   1	              0	              12	                         0	
160	 1	   1	              0	              12	                         0	
165	 0	   1	              0	              12	                         0	
170	 1	   1	              0	              12	                         0	
175	 0	   1	              0	              12	                         0	
180	 1	   1	              0	              12	                         0	
185	 0	   1	              0	              12	                         0	
190	 1	   0	              0	              12	                         0	
195	 0	   0	              0	              12	                         0	
200	 1	   0	              0	              12	                         0	
205	 0	   0	              0	              12	                         0	
210	 1	   0	              0	              12	                         0	
215	 0	   0	              0	              12	                         0	
220	 1	   0	              0	              12	                         0	
225	 0	   0	              0	              12	                         0	
230	 1	   0	              0	              12	                         0	
235	 0	   0	              0	              12	                         0	
240	 1	   0	              0	              12	                         0	
245	 0	   0	              0	              12	                         0	
250	 1	   0	              0	              12	                         0	
255	 0	   0	              0	              12	                         0	
260	 1	   0	              0	              12	                         0	
265	 0	   0	              0	              12	                         0	
270	 1	   0	              0	              12	                         0	
275	 0	   0	              0	              12	                         0	
280	 1	   0	              0	              12	                         0	
285	 0	   0	              0	              12	                         0	
290	 1	   1	              0	              12	                         0	
295	 0	   1	              0	              12	                         0	
300	 1	   0	              0	              12	                         0	
305	 0	   0	              0	              12	                         0	
310	 1	   0	              0	              12	                         0	
315	 0	   0	              0	              12	                         0	
320	 1	   0	              0	              12	                         0	
325	 0	   0	              0	              12	                         0	
330	 1	   0	              0	              12	                         0	
335	 0	   0	              0	              12	                         0	
340	 1	   0	              0	              12	                         0	
345	 0	   0	              0	              12	                         0	
350	 1	   0	              0	              12	                         0	
355	 0	   0	              0	              12	                         0	
360	 1	   0	              0	              12	                         0	
365	 0	   0	              0	              12	                         0	
370	 1	   0	              0	              12	                         0	
375	 0	   0	              0	              12	                         0	
380	 1	   0	              0	              12	                         0	
385	 0	   0	              0	              12	                         0	
390	 1	   0	              0	              12	                         0	
395	 0	   0	              0	              12	                         0	
400	 1	   1	              0	              12	                         0	
405	 0	   1	              0	              12	                         0	
410	 1	   0	              0	              12	                         0	
415	 0	   0	              0	              12	                         0	
420	 1	   0	              0	              12	                         0	
425	 0	   0	              0	              12	                         0	
430	 1	   0	              0	              12	                         0	
435	 0	   0	              0	              12	                         0	
440	 1	   0	              0	              12	                         0	
445	 0	   0	              0	              12	                         0	
450	 1	   0	              0	              12	                         0	
455	 0	   0	              0	              12	                         0	
460	 1	   0	              0	              12	                         0	
465	 0	   0	              0	              12	                         0	
470	 1	   0	              0	              12	                         0	
475	 0	   0	              0	              12	                         0	
480	 1	   0	              0	              12	                         0	
485	 0	   0	              0	              12	                         0	
490	 1	   0	              0	              12	                         0	
495	 0	   0	              0	              12	                         0	
500	 1	   0	              0	              12	                         0	
505	 0	   0	              0	              12	                         0	
510	 1	   1	              0	              12	                         0	
515	 0	   1	              0	              12	                         0	
520	 1	   0	              0	              12	                         0	
525	 0	   0	              0	              12	                         0	
530	 1	   0	              0	              12	                         0	
535	 0	   0	              0	              12	                         0	
540	 1	   0	              0	              12	                         0	
545	 0	   0	              0	              12	                         0	
550	 1	   0	              0	              12	                         0	
555	 0	   0	              0	              12	                         0	
560	 1	   0	              0	              12	                         0	
565	 0	   0	              0	              12	                         0	
570	 1	   0	              0	              12	                         0	
575	 0	   0	              0	              12	                         0	
580	 1	   0	              0	              12	                         0	
585	 0	   0	              0	              12	                         0	
590	 1	   0	              0	              12	                         0	
595	 0	   0	              0	              12	                         0	
600	 1	   0	              0	              12	                         0	
605	 0	   0	              0	              12	                         0	
610	 1	   0	              0	              12	                         0	
615	 0	   0	              0	              12	                         0	
620	 1	   1	              0	              12	                         0	
625	 0	   1	              0	              12	                         0	
630	 1	   0	              0	              12	                         0	
635	 0	   0	              0	              12	                         0	
640	 1	   0	              0	              12	                         0	
645	 0	   0	              0	              12	                         0	
650	 1	   0	              0	              12	                         0	
655	 0	   0	              0	              12	                         0	
660	 1	   0	              0	              12	                         0	
665	 0	   0	              0	              12	                         0	
670	 1	   0	              0	              12	                         0	
675	 0	   0	              0	              12	                         0	
680	 1	   0	              0	              12	                         0	
685	 0	   0	              0	              12	                         0	
690	 1	   0	              0	              12	                         0	
695	 0	   0	              0	              12	                         0	
